season,n,mean,median,sd,cv,min,max
2022,140,4.286428571428574,4.34,1.7533807309500722,40.905399488920175,1.23,7.7
2023,152,5.777592105263164,4.96,2.9486097326873977,51.035270039249184,2.07,14.11
2024,149,6.420778523489919,6.77,2.0780103622170873,32.36383803949705,1.46,10.78
Overall,441,5.521519274376434,5.06,2.487823639104414,45.056867783647704,1.23,14.11
