product_id,impact_category,unit,total
singlescore_10_1,Particulate matter,Pt,1.45961e-11
singlescore_10_1,"Human toxicity, non-cancer",Pt,8.652599999999999e-13
singlescore_10_1,"Human toxicity, cancer",Pt,1.4514e-15
singlescore_10_1,Acidification,Pt,0.06340608
singlescore_10_1,"Eutrophication, freshwater",Pt,0.000012730799999999998
singlescore_10_1,"Eutrophication, marine",Pt,0.002428524
singlescore_10_1,"Eutrophication, terrestrial",Pt,0.38357631
singlescore_10_1,"Ecotoxicity, freshwater",Pt,458127.314
singlescore_10_1,Land use,Pt,2789874
singlescore_10_1,Water use,Pt,1161.545319
singlescore_10_1,"Resource use, fossils",Pt,229857.6558
singlescore_10_1,"Resource use, minerals and metals",Pt,2.472e-7
singlescore_10_1,Climate change - Fossil,Pt,0
singlescore_10_1,Climate change - Biogenic,Pt,0
singlescore_10_1,Climate change - Land use and LU change,Pt,0
singlescore_10_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_10_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_10_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_10_1,"Human toxicity, cancer - organics",Pt,0
singlescore_10_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_10_1,"Human toxicity, cancer - metals",Pt,0
singlescore_10_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_10_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_10_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_11_1,Total,Pt,1684.4590994255493
singlescore_11_1,Climate change,Pt,3.61965
singlescore_11_1,Ozone depletion,Pt,6.1716e-13
singlescore_11_1,Ionising radiation,Pt,0.026796999999999998
singlescore_11_1,Photochemical ozone formation,Pt,0.000048305999999999995
singlescore_11_1,Particulate matter,Pt,4.00589e-15
singlescore_11_1,"Human toxicity, non-cancer",Pt,7.796079999999999e-16
singlescore_11_1,"Human toxicity, cancer",Pt,9.266e-19
singlescore_11_1,Acidification,Pt,0.000069488
singlescore_11_1,"Eutrophication, freshwater",Pt,3.0076000000000002e-9
singlescore_11_1,"Eutrophication, marine",Pt,0.00000708948
singlescore_11_1,"Eutrophication, terrestrial",Pt,0.000609039
singlescore_11_1,"Ecotoxicity, freshwater",Pt,5.355384
singlescore_11_1,Land use,Pt,1526.694
singlescore_11_1,Water use,Pt,0.0837045
singlescore_11_1,"Resource use, fossils",Pt,148.67883
singlescore_11_1,"Resource use, minerals and metals",Pt,6.095999999999999e-11
singlescore_11_1,Climate change - Fossil,Pt,0
singlescore_11_1,Climate change - Biogenic,Pt,0
singlescore_11_1,Climate change - Land use and LU change,Pt,0
singlescore_11_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_11_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_11_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_11_1,"Human toxicity, cancer - organics",Pt,0
singlescore_11_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_11_1,"Human toxicity, cancer - metals",Pt,0
singlescore_11_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_11_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_11_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_12_1,Total,Pt,8061.664864674218
singlescore_12_1,Climate change,Pt,21.97986
singlescore_12_1,Ozone depletion,Pt,3.1523999999999998e-12
singlescore_12_1,Ionising radiation,Pt,0.166479
singlescore_12_1,Photochemical ozone formation,Pt,0.00025802
singlescore_12_1,Particulate matter,Pt,2.35338e-14
singlescore_12_1,"Human toxicity, non-cancer",Pt,1.748e-15
singlescore_12_1,"Human toxicity, cancer",Pt,8.446e-18
singlescore_12_1,Acidification,Pt,0.0003784
singlescore_12_1,"Eutrophication, freshwater",Pt,2.6574e-8
singlescore_12_1,"Eutrophication, marine",Pt,0.0000372072
singlescore_12_1,"Eutrophication, terrestrial",Pt,0.00319302
singlescore_12_1,"Ecotoxicity, freshwater",Pt,36.047373
singlescore_12_1,Land use,Pt,7117.209
singlescore_12_1,Water use,Pt,0.777326
singlescore_12_1,"Resource use, fossils",Pt,885.48096
singlescore_12_1,"Resource use, minerals and metals",Pt,4.4015999999999996e-10
singlescore_12_1,Climate change - Fossil,Pt,0
singlescore_12_1,Climate change - Biogenic,Pt,0
singlescore_12_1,Climate change - Land use and LU change,Pt,0
singlescore_12_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_12_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_12_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_12_1,"Human toxicity, cancer - organics",Pt,0
singlescore_12_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_12_1,"Human toxicity, cancer - metals",Pt,0
singlescore_12_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_12_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_12_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_13_1,Total,Pt,1820.3540602892788
singlescore_13_1,Climate change,Pt,4.757759999999999
singlescore_13_1,Ozone depletion,Pt,7.3408e-13
singlescore_13_1,Ionising radiation,Pt,0.036292000000000005
singlescore_13_1,Photochemical ozone formation,Pt,0.00005917
singlescore_13_1,Particulate matter,Pt,5.42049e-15
singlescore_13_1,"Human toxicity, non-cancer",Pt,5.235259999999999e-16
singlescore_13_1,"Human toxicity, cancer",Pt,1.6072e-18
singlescore_13_1,Acidification,Pt,0.00008703199999999999
singlescore_13_1,"Eutrophication, freshwater",Pt,7.1276e-9
singlescore_13_1,"Eutrophication, marine",Pt,0.000008380000000000001
